Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jayson Tatum (27221016),Jayson Tatum,27221016,SF/PF/F/UTIL,10400,BOS@WAS 03/28/2023 07:00PM ET,BOS,52.59
PG,Shai Gilgeous-Alexander (27221020),Shai Gilgeous-Alexander,27221020,PG/G/UTIL,10000,CHA@OKC 03/28/2023 08:00PM ET,OKC,49.85
SG/SF,Jaylen Brown (27221023),Jaylen Brown,27221023,SG/SF/F/G/UTIL,9900,BOS@WAS 03/28/2023 07:00PM ET,BOS,43.94
PG,Stephen Curry (27221028),Stephen Curry,27221028,PG/G/UTIL,9600,NOP@GSW 03/28/2023 10:00PM ET,GSW,50.36
PF/C,Kristaps Porzingis (27221031),Kristaps Porzingis,27221031,PF/C/F/UTIL,9300,BOS@WAS 03/28/2023 07:00PM ET,WAS,42.66
PF/C,Pascal Siakam (27221035),Pascal Siakam,27221035,PF/C/F/UTIL,9200,MIA@TOR 03/28/2023 07:30PM ET,TOR,45.67
PG,Trae Young (27221039),Trae Young,27221039,PG/G/UTIL,9100,CLE@ATL 03/28/2023 07:30PM ET,ATL,47.71
PG,Fred VanVleet (27221042),Fred VanVleet,27221042,PG/G/UTIL,9000,MIA@TOR 03/28/2023 07:30PM ET,TOR,40.99
PG,Ja Morant (27221045),Ja Morant,27221045,PG/G/UTIL,8900,ORL@MEM 03/28/2023 08:00PM ET,MEM,48.87
SF,Brandon Ingram (27221048),Brandon Ingram,27221048,SF/F/UTIL,8800,NOP@GSW 03/28/2023 10:00PM ET,NOP,39.88
SF,Jimmy Butler (27221051),Jimmy Butler,27221051,SF/F/UTIL,8700,MIA@TOR 03/28/2023 07:30PM ET,MIA,42.11
PG/SG,Donovan Mitchell (27221054),Donovan Mitchell,27221054,PG/SG/G/UTIL,8600,CLE@ATL 03/28/2023 07:30PM ET,CLE,43.65
SG,Bradley Beal (27221058),Bradley Beal,27221058,SG/G/UTIL,8500,BOS@WAS 03/28/2023 07:00PM ET,WAS,38.76
PF/C,Zion Williamson (27221061),Zion Williamson,27221061,PF/C/F/UTIL,8400,NOP@GSW 03/28/2023 10:00PM ET,NOP,43.57
PF/C,Jaren Jackson Jr. (27221065),Jaren Jackson Jr.,27221065,PF/C/F/UTIL,8300,ORL@MEM 03/28/2023 08:00PM ET,MEM,36
